,train_loss,test_loss,test_acc
0,2.290212035179138,2.242302844318719,0.37720000743865967
1,2.2208560705184937,2.176016998748048,0.48660001158714294
2,2.1410391330718994,2.0943980514051055,0.6244999766349792
3,2.0650218725204468,1.992837589007978,0.6324999928474426
4,1.9317166805267334,1.8683810081725685,0.673799991607666
5,1.8332654237747192,1.7273388202198017,0.7034000158309937
6,1.6562370955944061,1.5798001266516055,0.7278000116348267
7,1.5123657286167145,1.4374958425284194,0.7366999983787537
8,1.3799969553947449,1.3070905414252236,0.7696999907493591
9,1.2782880663871765,1.1931504538645759,0.7789999842643738
10,1.1366204023361206,1.094210473302835,0.7965999841690063
11,1.0230679661035538,1.0105355875179791,0.8061000108718872
12,1.0234412252902985,0.9389149731340499,0.8130000233650208
13,0.9846068918704987,0.8781642475828957,0.8203999996185303
14,0.9085137397050858,0.8269496487733274,0.8256999850273132
15,0.8094716370105743,0.7807166488787618,0.8339999914169312
16,0.796372264623642,0.7429513100998851,0.8395000100135803
17,0.7589256912469864,0.7086565890632117,0.8450999855995178
18,0.7988778054714203,0.6790152145460391,0.8467000126838684
19,0.6337558180093765,0.6529943971588208,0.8503999710083008
20,0.6220040917396545,0.6288455902768401,0.8532000184059143
21,0.6986431926488876,0.6081486398610063,0.8574000000953674
22,0.639363706111908,0.5898381536380171,0.8611000180244446
23,0.6565809696912766,0.5728804507194617,0.8639000058174133
24,0.5296185314655304,0.5578696062675299,0.8665000200271606
25,0.5488180369138718,0.5436443760753059,0.8676999807357788
26,0.5968761667609215,0.5309549553897053,0.869700014591217
27,0.5347387939691544,0.5193969463102353,0.8718000054359436
28,0.6062987521290779,0.5087186731279086,0.8726000189781189
29,0.5640959590673447,0.4983396151195319,0.8744999766349792
30,0.48435185849666595,0.4896521278844474,0.8762999773025513
31,0.3633665554225445,0.4805631545690683,0.8784999847412109
32,0.6091219559311867,0.4728377471430995,0.8794999718666077
33,0.46163560450077057,0.4654088917726907,0.8805999755859375
34,0.42023028433322906,0.4579818374432695,0.8823999762535095
35,0.4462880790233612,0.4514045706286598,0.8833000063896179
36,0.43832144141197205,0.4454183796533761,0.8853999972343445
37,0.4889446943998337,0.4397013612067738,0.8858000040054321
38,0.3855239450931549,0.4340643511888699,0.8871999979019165
39,0.3482488766312599,0.4290341225009376,0.8873000144958496
