,train_loss,test_loss,test_acc
0,3.488438116582235,2.5082406944360214,0.33219999074935913
1,2.1238212555885316,1.776474532799218,0.48240000009536743
2,1.6112529786109924,1.426604756722435,0.5733000040054321
3,1.3427590991655987,1.2209924051936822,0.6279000043869019
4,1.1780480956077575,1.0853809453427983,0.6680999994277954
5,1.065282036781311,0.9907209305717541,0.6967999935150146
6,0.9825979938189189,0.9174686172328437,0.722100019454956
7,0.9184918996810914,0.8621325504284697,0.7397000193595886
8,0.8671652185837427,0.8149803501729387,0.7508000135421753
9,0.8249616232434909,0.7771880423394255,0.7652000188827515
10,0.789425319647789,0.7443615446646754,0.7748000025749207
11,0.759006692067782,0.7173737157552768,0.7828999757766724
12,0.7325984137296677,0.6931209233812631,0.7882999777793884
13,0.709490657933553,0.6719229649335813,0.7954999804496765
14,0.6889250977834066,0.6530908276193058,0.8001999855041504
15,0.6705412771463394,0.6364993045981319,0.8044000267982483
16,0.6539445854345958,0.6207278348481693,0.8095999956130981
17,0.6388605323632558,0.6074869792682295,0.8133000135421753
18,0.6249983341375986,0.5958124677213236,0.8187000155448914
19,0.6123522081096967,0.5830605551362419,0.8224999904632568
20,0.600593426545461,0.5732340866955705,0.8245000243186951
21,0.5897605967680614,0.5637485559660786,0.8277000188827515
22,0.579662994547685,0.5533427419468236,0.8313999772071838
23,0.5700987007021904,0.5445218764650174,0.8330000042915344
24,0.5612126893162728,0.5366106126874018,0.8352000117301941
25,0.5529220922986666,0.5286598061315548,0.8374999761581421
26,0.5450754622578621,0.521783253541008,0.8389000296592712
27,0.53753756326437,0.5150117982690707,0.8417999744415283
28,0.5304537276744843,0.5080139713641554,0.8436999917030334
29,0.5238730879147847,0.5025444569679114,0.8452000021934509
30,0.5173916044990222,0.49607209616099684,0.8464999794960022
31,0.5114220021088918,0.49023672809806496,0.8495000004768372
32,0.5056352614402772,0.4857158652795389,0.8513000011444092
33,0.4999759354829788,0.4799972911136219,0.8521999716758728
34,0.4946694993853569,0.47506600939713345,0.8543000221252441
35,0.48965715673367183,0.47077812380588857,0.8557999730110168
36,0.4846599855740865,0.4664446349008777,0.8574000000953674
37,0.4799461953997612,0.4621182108601442,0.8590999841690063
38,0.4754437696099281,0.45857284970272083,0.8596000075340271
39,0.47105715124607084,0.45340759009598924,0.8618000149726868
